n    xStep     A/A*     p/p0     V/a0    T/T0     
0 0.0 5.95 1.0 0.1 1.0
1 0.1 5.311999999999999 0.96854 0.20656771688722322 0.97686
2 0.2 4.718 0.93708 0.31055431293092683 0.95372
3 0.30000000000000004 4.168 0.90562 0.4119122732087501 0.93058
4 0.4 3.662000000000001 0.87416 0.5105916981698783 0.90744
5 0.5 3.2 0.8427 0.6065401120288748 0.8843
6 0.6000000000000001 2.782 0.81124 0.6997022499320694 0.8611599999999999
7 0.7000000000000001 2.408 0.7797799999999999 0.7900198208779323 0.83802
8 0.8 2.078 0.74832 0.8774312428447031 0.81488
9 0.9 1.792 0.71686 0.9618713459397781 0.79174
10 1.0 1.55 0.6854 1.0432710386088555 0.7686
11 1.1 1.3519999999999999 0.65394 1.121556930993697 0.74546
12 1.2000000000000002 1.1979999999999997 0.6224799999999999 1.1966509083604961 0.72232
13 1.3 1.088 0.59102 1.268469646077509 0.69918
14 1.4000000000000001 1.022 0.55956 1.336924055823666 0.67604
15 1.5 1.0 0.5281 1.401918650457294 0.6529
16 1.6 1.022 0.49663999999999997 1.4633508121294772 0.62976
17 1.7000000000000002 1.088 0.4651799999999999 1.5211099446062408 0.6066199999999999
18 1.8 1.198 0.43372 1.5750764861174205 0.58348
19 1.9000000000000001 1.3520000000000003 0.40225999999999995 1.625120753033448 0.5603400000000001
20 2.0 1.55 0.3708 1.671101576804953 0.5372
21 2.1 1.7920000000000003 0.33934 1.7128646862084582 0.51406
22 2.2 2.0780000000000003 0.30787999999999993 1.7502407730595244 0.49092
23 2.3000000000000003 2.4080000000000013 0.2764199999999999 1.7830431607843937 0.46778
24 2.4000000000000004 2.782000000000002 0.24495999999999996 1.8110649695248375 0.4446399999999999
25 2.5 3.2 0.21350000000000002 1.8340756357086259 0.4215
26 2.6 3.662000000000001 0.18203999999999998 1.8518165935534767 0.39836000000000005
27 2.7 4.168000000000001 0.15057999999999994 1.8639958534771481 0.37522
28 2.8000000000000003 4.718000000000002 0.11911999999999989 1.8702811062297562 0.35207999999999995
29 2.9000000000000004 5.312000000000002 0.08765999999999996 1.8702908227706192 0.3289399999999999
30 3.0 5.95 0.05620000000000003 1.8635825766517569 0.30580000000000007
